metric,k,mean_null,mean_cluster,delta,ci_low,ci_high,perm_p,cohens_d
d_avg,31.0,0.3076732319475266,0.1832997234427514,0.1243735085047751,,,1.999960000799984e-05,19.22928263695213
d_avg,32.0,0.3095961840654526,0.1837044352959164,0.1258917487695362,,,1.999960000799984e-05,19.22928263695213
d_avg,33.0,0.3396697988229127,0.1810314256236059,0.1586383731993068,,,1.999960000799984e-05,19.22928263695213
d_avg,34.0,0.3129748359495719,0.182693427346115,0.1302814086034569,,,1.999960000799984e-05,19.22928263695213
d_avg,35.0,0.3224234188075496,0.1822666476977477,0.1401567711098019,,,1.999960000799984e-05,19.22928263695213
d_avg,36.0,0.32405426902966,0.1819773153761331,0.1420769536535268,,,1.999960000799984e-05,19.22928263695213
d_avg,37.0,0.3138980727132772,0.184222037606978,0.1296760351062991,,,1.999960000799984e-05,19.22928263695213
d_avg,38.0,0.2984286938301779,0.1830360297165658,0.115392664113612,,,1.999960000799984e-05,19.22928263695213
d_avg,39.0,0.3188779687590763,0.1817160578989393,0.137161910860137,,,1.999960000799984e-05,19.22928263695213
d_avg,40.0,0.3066350821839686,0.181776981588927,0.1248581005950416,,,1.999960000799984e-05,19.22928263695213
d_avg,41.0,0.306675199757519,0.181943560284277,0.124731639473242,,,1.999960000799984e-05,19.22928263695213
d_avg,42.0,0.3242514661251654,0.1830755132893857,0.1411759528357797,,,1.999960000799984e-05,19.22928263695213
d_avg,43.0,0.3157113731214143,0.1835386119845948,0.1321727611368194,,,1.999960000799984e-05,19.22928263695213
d_avg,44.0,0.3215997027462947,0.1840676503786228,0.1375320523676718,,,1.999960000799984e-05,19.22928263695213
d_avg,45.0,0.3282420330801773,0.1804810038431733,0.1477610292370039,,,1.999960000799984e-05,19.22928263695213
d_avg,46.0,0.3212501816739255,0.1868806582714465,0.1343695234024789,,,1.999960000799984e-05,19.22928263695213
d_avg,47.0,0.3234141598664493,0.1836056153831586,0.1398085444832906,,,1.999960000799984e-05,19.22928263695213
d_avg,48.0,0.3194917310253556,0.1825259875990103,0.1369657434263453,,,1.999960000799984e-05,19.22928263695213
d_avg,49.0,0.3367720241471588,0.1841482646439634,0.1526237595031954,,,1.999960000799984e-05,19.22928263695213
d_avg,50.0,0.3087145002354456,0.1835468615322204,0.1251676387032251,,,1.999960000799984e-05,19.22928263695213
d_avg,51.0,0.3259306759477119,0.1859341917577376,0.1399964841899743,,,1.999960000799984e-05,19.22928263695213
d_avg,52.0,0.3151568692775758,0.1839567977883561,0.1312000714892197,,,1.999960000799984e-05,19.22928263695213
d_avg,53.0,0.3371661376422588,0.1822467121613974,0.1549194254808614,,,1.999960000799984e-05,19.22928263695213
d_avg,54.0,0.3084011518356686,0.1825793642943341,0.1258217875413345,,,1.999960000799984e-05,19.22928263695213
d_avg,55.0,0.3410752556026992,0.181038230524999,0.1600370250777001,,,1.999960000799984e-05,19.22928263695213
d_avg,56.0,0.3240064130121759,0.1827288499020573,0.1412775631101186,,,1.999960000799984e-05,19.22928263695213
d_avg,57.0,0.3286690106380814,0.1831382256448211,0.1455307849932602,,,1.999960000799984e-05,19.22928263695213
d_avg,58.0,0.3351608900006168,0.182440671597235,0.1527202184033817,,,1.999960000799984e-05,19.22928263695213
d_avg,59.0,0.3235176948831422,0.1828277520539897,0.1406899428291524,,,1.999960000799984e-05,19.22928263695213
d_avg,60.0,0.3226989217938411,0.1819304185429339,0.1407685032509071,,,1.999960000799984e-05,19.22928263695213
d_avg,61.0,0.3047736897748559,0.1813681036832249,0.1234055860916309,,,1.999960000799984e-05,19.22928263695213
d_avg,62.0,0.3279955702772927,0.1836267644975313,0.1443688057797614,,,1.999960000799984e-05,19.22928263695213
d_avg,63.0,0.3102071579051487,0.183031823000804,0.1271753349043447,,,1.999960000799984e-05,19.22928263695213
d_avg,64.0,0.3223590822883714,0.1805641903845332,0.1417948919038381,,,1.999960000799984e-05,19.22928263695213
d_avg,65.0,0.3183536652370526,0.1807788784646131,0.1375747867724394,,,1.999960000799984e-05,19.22928263695213
d_avg,66.0,0.32725346485592,0.1824612710677337,0.1447921937881863,,,1.999960000799984e-05,19.22928263695213
d_avg,67.0,0.3166303317285799,0.183089978879395,0.1335403528491849,,,1.999960000799984e-05,19.22928263695213
d_avg,68.0,0.3274314486754593,0.1835851259178559,0.1438463227576034,,,1.999960000799984e-05,19.22928263695213
d_avg,69.0,0.3159299808258618,0.1833119733278266,0.1326180074980352,,,1.999960000799984e-05,19.22928263695213
d_avg,70.0,0.3118063208473771,0.1834994309869453,0.1283068898604317,,,1.999960000799984e-05,19.22928263695213
d_avg,71.0,0.3131226436145979,0.1813394025629422,0.1317832410516557,,,1.999960000799984e-05,19.22928263695213
d_avg,72.0,0.3202512089322353,0.180770571542687,0.1394806373895482,,,1.999960000799984e-05,19.22928263695213
d_avg,73.0,0.300938867558969,0.1824363406686772,0.1185025268902917,,,1.999960000799984e-05,19.22928263695213
